2025-06-19 14:21:34 INFO     {'input_dim': 88, 'z_dim': 10, 'batch_size': 20, 'epochs': 1000, 'min_epochs': 2, 'lr': 0.0003, 'beta1': 0.96, 'beta2': 0.999, 'clip_norm': 20.0, 'anneal_epochs': 1000, 'min_anneal': 0.1}
2025-06-19 14:56:28 INFO     [test epoch 00000880]  0.01322015
2025-06-19 14:56:51 INFO     [Epoch 0890]		(dt = 23.775 sec)
2025-06-19 14:56:51 INFO     [train epoch 00000890]  0.01234933
2025-06-19 14:56:51 INFO     [test epoch 00000890]  0.01312721
2025-06-19 14:57:15 INFO     [Epoch 0900]		(dt = 23.710 sec)
2025-06-19 14:57:15 INFO     [train epoch 00000900]  0.01225685
2025-06-19 14:57:15 INFO     [test epoch 00000900]  0.01303636
2025-06-19 14:57:39 INFO     [Epoch 0910]		(dt = 23.937 sec)
2025-06-19 14:57:39 INFO     [train epoch 00000910]  0.01217367
2025-06-19 14:57:39 INFO     [test epoch 00000910]  0.01294818
2025-06-19 14:58:02 INFO     [Epoch 0920]		(dt = 23.653 sec)
2025-06-19 14:58:02 INFO     [train epoch 00000920]  0.01209790
2025-06-19 14:58:03 INFO     [test epoch 00000920]  0.01286372
2025-06-19 14:58:26 INFO     [Epoch 0930]		(dt = 23.866 sec)
2025-06-19 14:58:26 INFO     [train epoch 00000930]  0.01200892
2025-06-19 14:58:26 INFO     [test epoch 00000930]  0.01278014
2025-06-19 14:58:50 INFO     [Epoch 0940]		(dt = 23.840 sec)
2025-06-19 14:58:50 INFO     [train epoch 00000940]  0.01193334
2025-06-19 14:58:50 INFO     [test epoch 00000940]  0.01269981
2025-06-19 14:59:14 INFO     [Epoch 0950]		(dt = 24.165 sec)
2025-06-19 14:59:14 INFO     [train epoch 00000950]  0.01185191
2025-06-19 14:59:14 INFO     [test epoch 00000950]  0.01262113
2025-06-19 14:59:38 INFO     [Epoch 0960]		(dt = 23.853 sec)
2025-06-19 14:59:38 INFO     [train epoch 00000960]  0.01177690
2025-06-19 14:59:38 INFO     [test epoch 00000960]  0.01254566
2025-06-19 15:00:02 INFO     [Epoch 0970]		(dt = 23.610 sec)
2025-06-19 15:00:02 INFO     [train epoch 00000970]  0.01171830
2025-06-19 15:00:02 INFO     [test epoch 00000970]  0.01247175
2025-06-19 15:00:25 INFO     [Epoch 0980]		(dt = 23.784 sec)
2025-06-19 15:00:25 INFO     [train epoch 00000980]  0.01164337
2025-06-19 15:00:26 INFO     [test epoch 00000980]  0.01240013
2025-06-19 15:00:49 INFO     [Epoch 0990]		(dt = 23.739 sec)
2025-06-19 15:00:49 INFO     [train epoch 00000990]  0.01157650
2025-06-19 15:00:49 INFO     [test epoch 00000990]  0.01233160
